text;label
"guys... this is so stupid...";ANGER
"I lost the whole morning cause HBase's RegionServer was dying with no logs, no nothing... how Am I supposed to debug the issue if u do not even generate a core dump?";ANGER
"{quote}You are messing down deep below hbase in dfs.";ANGER
"And I think if we're going to do a sweep up of shit, we should just kill root.";ANGER
"@idiot Yeah, I was on that idiot-path for a good while but commons-lang is a hairball, at least where this hashcode making and equals is concerned.";ANGER
"Pull it back in if you think different.";ANGER
"i suck.";ANGER
"Will still be stuck in the loop though if can't actually close regions.";ANGER
"Original edited patch was messed up... stupid sed!";ANGER
"Who made this stupid rule?";ANGER
"Sorry but this is just stupid.";ANGER
"But I will quit committing to Hama then, because I'm not going to support ONLY a binary format.";ANGER
"This is not what I build a framework for.";ANGER
"Well, damn.";ANGER
"Blooper after blooper - I hate SVN.";ANGER
"This looks reasonable to me... sucks we have to special case handling of "" ""...";ANGER
"You may want to carefully examine your assumption about this.";ANGER
"Ok, wow, welcome to Linux hell...";ANGER
"If I get a chance I may even roll it into our dev environment but I am currently in the middle of mem leak hell.";ANGER
"Both equally bad.";ANGER
"Negative, I am against fetch groups in principle.";ANGER
"This way lies metadata hell.";ANGER
"Shit, there is an dependency. Please go to Preferences -> LDAP -> Entry Editor and enable the option ""Show operational attributes"".";ANGER
"Damn...";ANGER
"Damn...";ANGER
"Damn !";ANGER
"The evil NPE strik back !!";ANGER
"Bloody hell !!!";ANGER
"Damn time has flown...";ANGER
"Damn it !";ANGER
"This was a very bad bug, introduced by me being an idiot.";ANGER
"I did try some variations as well, and I have to say I only got confused.";
"I have stupidly deleted the original test dir, but judging from the suite's output files, no output was created after 3 1/2 hours.";ANGER
"damn this was assigned to you since months.";ANGER
"Imo all this just doesn't make sense from a pure performance aspect.";ANGER
"Confused about this.";
"Inserting timestamps automagically would be bad because it would limit a whole swath of use cases.";ANGER
"If they do then Suse's cpio works for old ascii but the -c switch is broken.";ANGER
"This is pretty embarassing!";ANGER
"When you install a node module globally it goes into /usr/local where you don't have permissions to move shit into unless you sudo.";ANGER
"That being said, I'm not totally opposed to making the limit configurable.";ANGER
"My bad, I screwed up the assertion -> RuntimeException transition.";ANGER
"Well, that sucks.";ANGER
"No, it's not off the table, but it's moot unless we decide we want cqlsh in-tree at all.";ANGER
"Ok here is a patch that works. I was stupid enough not to see it...";ANGER
"It was a pretty stupid idea to use a static array of instances for QuorumOpMonitor.";ANGER
"All I'm trying to say is that it's pretty easy to end up in propagation failure hell here or change something else that blows things up for use cases that are not foreseen.";ANGER
"Just to clarify... you made the DTPE handle exceptions the same way as CassandraDaemon by updating it to use NBHS instead of CSLS...   Did you just tell me to go fuck myself?";ANGER
"+1 (damn intellij, it's not like patch format hasn't been standard for years)";ANGER
"Wow, it's like Thrift is going out of their way to make life suck for us this month.";ANGER
" The samples you gave are different.";ANGER
"I just noticed your public tweet...  bq. ""@wilhelmbierbaum True. Fuck the Avro C API."" ";ANGER
"if so, can you see if you can git bisect this bad boy?";ANGER
"It seems some of the wrappers in ink_hrtime.h() might no longer be used either, e.g. ink_gettimeofday() is never used, so lets get rid of that shit.";ANGER
"Heh, that's one hell of a bug, 275 bytes exactly, eh?";ANGER
"What a stupid name I chose for that object... )-:";ANGER
"I think it's time to just close this issue.";ANGER
"I'm not entering bogus reports for the hell of it ;)  Matt";ANGER
"I am currently trying to get it into AJDT dev builds but my git push is timing out (damn thing!";ANGER
"Stupid Maven";ANGER
"Ok. Stupid user Error here.";ANGER
"Converted from a single FlatFileItemWriter to a database and flatfileitemwriter and didn't register the flatfile one as a stream.";
"If using a single FlatFileItemWriter it is enough to register it as an ItemWriter however when using the composite the adding it as a stream is also needed.";
"Why the hell do they deliver Duration, if they cannot instantiate it :-/";ANGER
"The defect  from hell 666, be scared..";ANGER
"This really sucks!";ANGER
"Why the hell is this not a bug?";ANGER
"I'm confused...";
"What the hell are you waiting for ?";ANGER
"you can't reopen stuff fixed in the past without upsetting JIRA.";
"I've fixed that locally and am doing a full build, but I'm going to build a test case to duplicate the error and then verify my proposed fix corrects it.";
"I suspect it has nothing to do with the file system connector or Infinispan connectors, and is simply a (stupid) mistake in the federated join processor.";ANGER
"I'm an idiot.";ANGER
"The Cenqua licensing section doesn't have a license like this, but the Clover licensing section does have a link to one.";
"It really sucks that there is now way currently to include transitive dependencies.";ANGER
"I'm an idiot... there's nothing wrong with the readme.txt.";ANGER
"Crap, forgot to verify that this is inconsistant with MRI, it's not.";ANGER
"Please close as this is just me being stupid.";ANGER
"Holy hell, I think I found one problem with turning a bignum into anything else.";ANGER
"This sucks *so much*...";ANGER
"Damn, I would close this out from the fix to JBSEAM-3742, except the quartz and seampay examples use a custom XML namespace and the XML schema validator is not happy with that.";ANGER
"*Damn*, I forgot.";ANGER
"Also, your username was stupidly named and confusing, so I deleted it and created a new one more appropriate.";ANGER
"Damn, it seemed it didn't work.";ANGER
"It sucks to lose the code readability, but it seems like a reasonable price to pay.";ANGER
"I don't have to ensure that the classloader knows groovy classes, *you* must do that.";ANGER
"And debugging is hell, because the test environment needs to have the exact same loader setup.";ANGER
"who the hell starts using our jira for typing lessons ?!?";ANGER
"fuck u";ANGER
"Hell, this is gonna take me a lot of work to raise.";ANGER
"That irritated the hell out of me too, but I didn't realise it was configurable in the .launch file.";ANGER
"This sucks badly.";ANGER
"Why on earth does createLink() need a request?";ANGER
"Finally closing this bug from hell.";ANGER
"I sure as hell don't want to start attaching models for the sake of detaching them directly afterwards.";ANGER
"That sucks, why isn't the escape mechanism working?";ANGER
"I am an idiot - this was a dupe of GUVNOR-84";ANGER
"That is really confusing.";
"Sun RI sucks, why the hell is saveState() and restoreState() not called with with javax.faces.STATE_SAVING_METHOD = server???";ANGER
"Swear to god, I'm not a total idiot.";ANGER
"I don't know how the hell my diff program decided to add seemingly random CR chars, but I've removed them now.";ANGER
"durrrh, that sucks.";ANGER
"Im stuck with IE6 unfortunately.";ANGER
"What the hell, I'll give this a shot.";ANGER
"{quote} searcher.getAtomicReader().getSortedDocValues(uniqueKey); {quote}  This is a performance killer.";ANGER
"As far as the query shit, i have no idea if solrdispatchfilter or whatever could/should do Thread.currentThread().setName(x) or whatever (and maybe restore after)";ANGER
"BTW: This is one reason why I hate this autoboxing shit since Java 5. I would love to have a way to prevent it in code (forbidden checks should detect this somehow). ";ANGER
"Hmm, that sucks.";ANGER
"tricky shit man! I think I found the issue!";ANGER
"Oh man ... it's a fucking precendence problem. ";ANGER
"Ugh, well that sucks.";ANGER
"I didn't know we needed to retain backwards config capability across 3.x to 4.x  :-(  That sucks and it'll make old code stick around longer.";ANGER
"bq. this is solr's fault by having a getter that does some heavy duty xml shit.";ANGER
"That sounds like some serious buck passing.";ANGER
"This whole thing is very distressing to me.";ANGER
"I think we all know it just sucks.";ANGER
"though I disagree with a signficant amount of statements you made,I don't think we would ever come to agreement anyway.";ANGER
" that's some freaky shit ...";ANGER
"i could have sworn i clicked the other radio button";
"I think you made mistakes in ivy.xml.";ANGER
"This is where it gets confusing.";ANGER
"If I can give you one advice on this one, I'd say this: fuck Derby, use H2 instead as the default embedded database.";ANGER
"What the hell?!";ANGER
"(Do nothing): Are you serious about that?";ANGER
"@Oleg, please accept that my ""logical"" is different from your ""logical"".";ANGER
"So, I'm fine with your logic, but given that I don't understand it please don't get upset when I ask questions on how I have to use it.";ANGER
"This was my bad.";ANGER
"The rest are *totally* unrelated.";ANGER
"Oh fuck :-) Sorry. Not my day, more beer needed!";ANGER
"Sorry, I guess I'm against ""never computing this shit""... because you guys think returning NaN is ok. ";ANGER
" if you want to make these optimizations, fix the APIs so its intuitive, otherwise, no way.";ANGER
"who the fuck is asking for scores, but not the max score, and why does their insanely specialized use case justify all these booleans on a central lucene class. ";ANGER
"I don't care about code duplication here.";ANGER
" We should not invoke the global synced fieldnumbers shit for every element, only when the setting actually changes";ANGER
"I disagree... and I guess I'm willing to go to bat for this.";ANGER
"HOLY SHIT!";ANGER
" I think the comments here are a bad sign... I sent us down an unfortunate slippery slope  we are a search engine library!  don't put shit in the index directory! or we will delete your shit. dead simple.";ANGER
"I wholeheartedly agree this API is confusing as hell.";ANGER
"Not only it's the first one in my life I'm seeing multiple ways of closing the same thing, it also conceals programming errors.";ANGER
"Sucks to rush a commit when an issue is under discussion.";ANGER
"I'm against such heavy committing myself, without some consensus to do so.";ANGER
"I'm confused.";ANGER
"> I hated that aspect of working for commercial companies.";ANGER
"Of course it is.";
"My bad.";ANGER
"Igor is an idiot, and we *do* need gmake.";ANGER
"Shit, I missed a cast.";ANGER
"But, even if it wasn't it would be totally worthless where it is at.";ANGER
"This is clearly bad webserver behaviour.";ANGER
"Forget what I made(D8067).";ANGER
"PreCommit-HDFS-Build is stuck.";ANGER
"I am slightly confused by the above.";
"So, it is stuck somewhere.";ANGER
"I don't want one-offs like this to become lost and forgotten.";ANGER
"But now that I think about it, it may crap out when coming back to read even on a recovered file.";ANGER
"@Matt... I'm an idiot, I used the wrong patch. Sigh.";ANGER
"I'm however very interested in this feature as it is essential to me.";ANGER
"Holy complicated-as-shit-algorithm, Batman!  The complexity of our implementation vs the complexity of what we're actually doing is starting to worry me here.";ANGER
"It also happens at the very startup after he has loaded only 3 sstables (hence DataTracker likely have 3 sstables, not a shit load).";ANGER
"Shit, my bad. The posted patch is from a completely wrong branch of my git repo - I had not realized I ran the test-patch against a branch not branch-1.";ANGER
" (In this particular case, Hoss clearly intended to use the no-no word as an intensifier, and not to stir shit.)";ANGER
"Maybe only one of us should play lawyer and the other one play engineer.";ANGER
" I used to be the latter, but then I went to law school and got a degree in this shit. ";ANGER
"Then, to make matters worse, since the mid-1990's I've been offering pro bono advice to non-profit foundations whose members insult me regularly and assume I'm an amateur.  ";ANGER
"Someone, but I'm not sure who, owes me a public apology here.  /Larry  ";ANGER
"that's bad Content-Type from gSOAP.";ANGER
"Pull it back in if you think different.";ANGER
"Hmm ... this is quite bad.";ANGER
"You are messing down deep below hbase in dfs.";ANGER
"Damn it, sry lost the orientation.";ANGER
"Oh, my stupid:)";ANGER
"oh ...geez I'm an idiot.";ANGER
"@jira - I wish you didn't suck so much.";ANGER
"Indeed that would be VERY bad design.";ANGER
"My bad.";ANGER
"(How bad is this?";ANGER
"I'm confused.";ANGER
"This is pretty trivial.";ANGER
"Of course, it could...  :-)  DOH!";ANGER
"Then you're pretty well screwed. ";ANGER
"Damn, Chuck is scary.";ANGER
"This is bad.";ANGER
"Well, that sucks.";ANGER
"Bad memory.";ANGER
"The state stuck at ""Allocated state"", It is a dup of 3788.";ANGER
"This is a pretty awful bug.";ANGER
"Replaced patch with fix to catch more bad variables";ANGER
"Does this suck?";ANGER
"Of course, StrFieldSource is a private class  No it's not.";ANGER
"CSS is really confusing sometimes.";ANGER
"Django is a fullstack framework, Click is not.";ANGER
"My bad.";ANGER
"Credit, of course, goes to Dick.";ANGER
"It seems really confusing.";ANGER
"+1 for this: my bad.";ANGER
"Hell or high water.";ANGER
"-1 to jar hell.";ANGER
"That would suck.";ANGER
"If so, a test that succeeds with errors is confusing as hell...";ANGER
"If the different segments are somewhat homogeneous then these stats should pretty much be very close anyway.";ANGER
"This is pretty trivial, just adds three asserts to TestPath#testNormalize.";ANGER
"I doubt that Squid is so bad at it.";ANGER
"It's not too bad once CacheConfig is in.";ANGER
"Not too bad though, since clearing out commitlog segments is easily done.";ANGER
"ah - my bad.";ANGER
"My bad, had a typo in the subscription e-mail.";ANGER
"My bad.";ANGER
"Yep, my bad.";ANGER
"Pull it back in if you think different.";ANGER
"Tabs are evil.";ANGER
"I looked at our distributed pom.xml and they're pretty obscure.";ANGER
"once per every bad disk).";ANGER
"Hell, UnaryFunction might even be faster than all of these calls in a row. ";ANGER
"This was very bad documented.";ANGER
"Damn.";ANGER
"Pull it back in if you think different.";ANGER
"Ie, both at are bad.";ANGER
"My bad.";ANGER
"I'm an idiot.";ANGER
"Splitting an existing sub-shard gets stuck up.";ANGER
"This is bad.";ANGER
"Oopps, bad move !";ANGER
"the recommendation in the wiki is bad.";ANGER
"My bad.";ANGER
"I'm starting to think of ""DLL Hell.""";ANGER
"#NAME?";ANGER
"Fix bad patch";ANGER
"Logger on top of Log4J and its abstract base class for supporting other frameworks.";ANGER
"My bad.";ANGER
"Well, either you query the database every damn time, and your plugin/tool/code will be super slow.";ANGER
"Damn it.";ANGER
"Hudson seems to be stuck on this. ";ANGER
"My bad...";ANGER
"which is silly -- bad package encapsulation).";ANGER
"My bad.";ANGER
"Oops, had a bad comparator in the TestCLI config.";ANGER
"My bad.";ANGER
"The food is very bad.";ANGER
"<gmcdonald> , my bad ";ANGER
"My bad.";ANGER
"My bad.";ANGER
"Pull it back in if you think different.";ANGER
"Aaarrggh, how stupid of mine  to have a System.out, again!";ANGER
"I always get the same stupid error.";ANGER
"Damn maven!";ANGER
"I don't care if everything is pretty or not, but we should at least support basic admin functionality in IE IMO (though I have not used it for years for just about anything).";ANGER
"I've looked at what can be done within the NSIS framework we use to build the Windows installer.";ANGER
"A feature with wrong functionality is as bad as, if not worse than, a bad performance.";ANGER
"Doh!";ANGER
"Doh.";ANGER
"Sounds weird to me... Could you package a (totally!)";ANGER
"Am I doing something stupid here?";ANGER
"* Replaced TreeMap with an Array of final 'Segment' objects ** (now very slightly faster than trunk) * Rebased for trunk * Removed the patch renaming SSTableReaderTest to SegmentedFileTest  I didn't remove the builder pattern, because the alternative seems pretty ugly (copying the segments array for every append).";ANGER
"HADOOP-2949:  - If tarball is specified, HOD no longer validates for the pkgs directory in gridservice-hdfs or mapred sections as these are not going to be used anyway.";ANGER
"It must be lost somewhere.";ANGER
"Too bad we can't use position:fixed in IE6.";ANGER
"I think the correct resolution is to ensure that the prefix stack mechanism  gets reset each time the XMLReader is used.";ANGER
"This is always a really bad way to design software.";ANGER
"It may suck, but at least *I* won't be the one bringing in a dumb dependency to a logging library.";ANGER
"How on earth is it buggy?";ANGER
"I didn't do that because that seems bad in hive, so I returned ""null"" from the operation.";ANGER
"This sucks.";ANGER
"They don't vote, they whine that something (or everything) sucks.";ANGER
"Damn dyslexia!";ANGER
"Doing it at the hackathon you'd have a few fellas at your shoulder to give you pointers should you get stuck.";ANGER
"Ah, that was my bad.";ANGER
"My bad.";ANGER
"it's my bad.";ANGER
"My bad!";ANGER
"Ah, too bad.";ANGER
"Here is quite bad.";ANGER
"This name gets confusing with all of our prenamed *Worker* and *Master* classes.";ANGER
"* release of the framework.";ANGER
"I'm a pretty strong -0 on this.";ANGER
"Not pretty. ";ANGER
"That's pretty unlikely.";ANGER
"Pretty much everything that FSNamesystem (ie.";ANGER
"Kind of sucks.";ANGER
"Since this patch is so damn large already I won't be making anymore changes to this other than critical/blocker bug fixes.";ANGER
"But please don't say that my reasoning is bad - because it is not.";ANGER
"> We can't let fear of back-compat prevent us from making progress.";ANGER
"I really don't care.";ANGER
"I am planning to use this framework for some new RPCs I am adding.";ANGER
"Don't hate me, just throwing this out there.";ANGER
"Weird.";ANGER
"This is weird.";ANGER
"Gav...(Hoping I'm not teaching you how to suck eggs :) )";ANGER
"For those of us who don't care about ivy in fact lose something - a easy to build hbase.";ANGER
"Where on earth are you anyway?";ANGER
"My bad.";ANGER
"My bad, this is already done.";ANGER
"That is bad.";ANGER
"Filling diags.log is bad mojo, since it's never rotated.";ANGER
"How bad is it?";ANGER
"My bad.";ANGER
"My bad.";ANGER
"Bad IE.";ANGER
"Bad. ";ANGER
"Pull it back in if you think different.";ANGER
"Stupid user error :)";ANGER
"Weird.";ANGER
"That's weird.";ANGER
"Actually I don't want to specify the encoding, because I don't care how the data is transported to me.";ANGER
"And boy, hell broke loose ;)  So... the biggest issue I'm facing is indeed with Random sharing across threads.";ANGER
"I don't care what we do as long as we don't change the attributes in JSP significantly.";ANGER
"The Async API in http client 4.x really sucks.";ANGER
" Forget the patch for the moment.";ANGER
"I'll just put fix in under this issue.";ANGER
"Please forget last comment, it is incorrect.";ANGER
"umm ... call me crazy, but why are we making this public?";ANGER
"[~cmccabe]: oh, hell no!";ANGER
"I'd say to hell with windows minority :)";ANGER
"Because, we don't care for this in cases where we there is no node that is down.";ANGER
"The eclipse ui was completly stuck, which was similiar to the other experinces.";ANGER
"Juhani..my bad, i was mistaken.";ANGER
"My Bad.";ANGER
"That's my bad.";ANGER
"Seeking back is pretty inefficient in DFS.";ANGER
"Doh!";ANGER
"Hudson is stuck.";ANGER
"Weird.";ANGER
"Weird.";ANGER
"That's weird.";ANGER
"If that would be the case, this would be bad design.";ANGER
"This just seems really evil.";ANGER
"It may cause conflicts, but if your intent is to break system security, you probably don't care.";ANGER
"My bad, uploaded the wrong patch.";ANGER
"I just hate having no clue what a file is really depending on ;) ";ANGER
"Ah, damn, I thought it was fixed :/  Guillaume ?";ANGER
"I abbreviated the heck out of my arguments and thinking, but damn it thats what I think :)";ANGER
"A stupid bug in a patch that is already applied.";ANGER
"In this case, data would pretty much just silently be lost.";ANGER
"This whole thing is really pretty trivial.";ANGER
"An output connector should also have a say in what URLs it will accept.";ANGER
"Turning off hints is basically intended as a ""oh shit, something is broken with hints, let's turn it off"" switch.";ANGER
"why on earth would it match anything, you have not even touched the Apache install.";ANGER
"Anyway, created a patch ...  ";
"Ah, HA!";
"or a log message?";
"Until there is a general mechanism Hbase should do something.";
"but there is no such limitation in the consistent algorithm behind ZK.";
"It will be taken care as part of HADOOP-7642.";
"The contribution archive.";
"What is convenient for the user to download two archives to run the project (or install maven)?";
"+1 for the docs in the SRC though.";
"Okay Edward, you haven't understood how it works.";
"Maybe you know it better when I show you some code.";
"If you want to have a binary sequencefile format, then do this.";
"What if you want to change this binary format?";
"Do you want to recreate every file on the whole planet?";
"You must take care about versioning then, and that is because we need a proxy between the inputformat and our vertex API.";
"Contributed by Vinay.";
"Previously we are mainly focus on trunk failures.";
"Yea, I think it would be worth distinguishing between the reasons.";
"Gimme a few mins to clean this up properly.";
"Is the -put command returning non-0 to indicate failure?";
"Is it by mistake?";
"We should be assigning atleast 50% of it's capacity.";
"pread I mentioned is FSInputStrea.read(long, buf, offset, len).";
"multiple pread invocations hitting contiguous byte ranges is quite tricky.";
"I would have hopped that the URI(String) constructor would have decoded things properly (or encoded them as it happens to be here).";
"Continue with stupid questions :)  Who is sponsor and mentor of project?";
"So, who should create mail lists, bug databases, etc.";
"Fixed bug of <hr />, the siteinfo is always after the rest of the page now.";
"batch transition to closed for remaining resolved bugs";
"Hi Vincent,  I wasn't aware of that.";
"We are all different"" Crowd ""I'm not"" Dissenter Monty Python's Life of Brian ";
"Turns out that Ubuntu dropped 32 bit support for 'whatever' in 12.04 and now you need to run ""sudo apt-get install ia32-libs"" in order to get older executables to run.";
"I wonder why not so many people use Linux?";
"On 2009-06-08 19:22:03.496 kjian commented: Localization data error.";
"On 2009-06-08 19:22:40.967 kjian commented: Localization issue.";
"Will close this as a dup.";
"[rvollmar 3/27/07] There are two bugs that are causing backwards compatibility issues, and I think the emails we've been exchanging have confused them.";
"First, an attempt is made to convert       * each argument.";
"It is better to express such things in Java, or in a query language that is designed for that.";
"Why would I want to use XML, when i can use the QBC API, or HQL (HQL can be embedded in the XML, remember), to express this stuff much more naturally?";
"In addition, in the longterm we will all most likely be using annotations, and the ""fetch group"" notion does *not* work with annotations.";
"It's generally pretty straightforward, but extensibility is not quite clear.";
"I have changed one test to see what will happend if I set the pwdIdle to b > 0, and the test passes.";
"What exactly is your configuration ?";
